Name,Unit type,Website,Key dates,Unit purpose,Relevant programs,Focus,Leadership / both nominal and 'practical' leadership,Faculty / departmental affiliations,Budget,Internal funding,External grants,Donors/philanthropy,Development office,Primary departmental anchor (s),Key organizations they connect with,Place in org chart,Twitter,Facebook,General external presentation,Events,Size,Needs,Trajectory,Success in its goals,Challenges it faces,Worth a deeper investigation,Important Links
Center for Causal Inference,NULL,http://igs.berkeley.edu/research/center-for-causal-inference,NULL,"The Center for Causal Inference and Program Evaluation seeks to further research on developing tools for making causal inferences in the social sciences. The study of causality has become increasing interdisciplinary, and the Center seeks to foster greater dialogue between the various disciplines that are contributing to the growing literature, including political science, economics, statistics, biostatistics, and computer science.",,,,,,,,,,,,,,,,,,,,,,,
Center for Computational Biology (CCB),New Initiative Center,http://qb3.berkeley.edu/ccb/,NULL,"CCB was established in 2003 through the Chancellor’s New Ideas Initiative, an outgrowth of the 2002 Strategic Academic Plan, to expand the research base at the university and produce the next generation of leaders in the fundamental and applied biological sciences. Administratively housed in the Berkeley component of the California Institute for Quantitative Biosciences, the mission of CCB is to support interdisciplinary research on the broad array of subjects that cover the interface between computation and biology and to foster graduate and undergraduate education in the field.",,,,,,,,,,,,,,,,,,,,,,,
Center for Long-Term Cybersecurity,NULL,http://www.ischool.berkeley.edu/cltc,NULL,The Center for Long-Term Cybersecurity exists as a nexus of many researchers with an interest in how technology and security play a role in modern day life.,,,,,,,,,,,,,,,,,,,,,,,
Center for Time Domain Informatics (CTDI),NULL,https://sites.google.com/site/cftdinfo/,NULL,"CTDI came from the newly emerging discipline—time-domain astronomy and informatics—which involves astronomers, statisticians, and computer scientists. At the most basic level, they are interested in extracting optimal (and novel) information from a finite dataset of time-series data in a computational-constrained environment. In other words, they aim to understand the huge landscape of variable stars and transient events in the Universe, using computers (and in particular, machine learning) to do this more efficiently. ",,,,,,,,,,,,,,,,,,,,,,,
"CITRIS ",NULL,http://citris-uc.org/,NULL,"The Center for Information Technology Research in the Interest of Society (CITRIS) creates information technology solutions for many of our most pressing social, environmental, and health care problems. CITIRS was created to “shorten the pipeline” between world-class laboratory research and the creation of start-ups, larger companies, and whole industries. CITRIS facilitates partnerships and collaborations among more than 300 faculty members and thousands of students from numerous departments at four University of California campuses with industrial researchers from over 60 corporations.",,,,,,,,,,,,,,,,,,,,,,,
CollectionSpace,NULL,http://www.collectionspace.org/,NULL,"CollectionSpace is an open-source collections management application that meets the needs of museums, historical societies, and other collection-holding organizations. The Phoebe A. Hearst Museum of Anthropology uses CollectionSpace to manage and provide online access to its collection of more than 3.8 million cataloged objects of material culture from around the world. The University and Jepson Herbaria is working to expand CollectionSpace to support research-driven interoperability, including the aggregation of content for the Consortium of California Herbaria.",,,,,,,,,,,,,,,,,,,,,,,
Computational Cognitive Science Lab,NULL,http://cocosci.berkeley.edu/,NULL,"The Computational Cognitive Science Lab's research goal is to understand the computational and statistical foundations of human inductive inference and to use this understanding to develop better accounts of human behavior and better automated systems for solving the challenging computational problems that people solve effortlessly in everyday life. They pursue this goal by analyzing human cognition in terms of optimal or ""rational"" solutions to computational problems.",,,,,,,,,,,,,,,,,,,,,,,
Computational Cosmology Center (C³),NULL,http://crd.lbl.gov/groups-depts/computational-cosmology-center/,NULL,"C³ is a focused collaboration of astrophysicists and computational scientists whose goals are to develop the tools, techniques, and technologies to meet the analysis challenges posed by present and future cosmological datasets. Members of C³ conduct research in a number of areas where high-performance computing is needed to support theoretical and observational cosmology or where massively parallel cosmology codes can help to drive computational science research and development.",,,,,,,,,,,,,,,,,,,,,,,
Computational Genomics Resource Laboratory (CGRL),NULL,http://qb3.berkeley.edu/qb3/cgrl/,NULL,"CGRL at UC Berkeley’s QB3 aims to facilitate research programs employing computational biology with computational infrastructure for data analysis, training in analytical tools for next-generation sequence data, and project-specific consultation on experiment design and analysis.",,,,,,,,,,,,,,,,,,,,,,,
"Computational Research Division at the Berkeley Lab ",NULL,http://crd.lbl.gov/,NULL,"The Computational Research Division conducts research and development in mathematical modeling and simulation, algorithm design, data storage, management and analysis, computer system architecture, and high-performance software implementation. They collaborate directly with scientists across the Berkeley Lab, the Department of Energy, and industry to solve some of the world’s most challenging computational and data management and analysis problems in a broad range of scientific and engineering fields, including materials science, biology, climate modeling, astrophysics, fusion science, and many others.",,,,,,,,,,,,,,,,,,,,,,,
DLab,NULL,http://dlab.berkeley.edu,NULL,"D-Lab helps Berkeley faculty, staff, and graduate students move forward with world-class research in data intensive social science. We think of data as an expansive category, one that is constantly changing as the research frontier moves. We offer a venue for methodological exchange from all corners of campus and across its bounds",,"Teaching and resources for social scientists, in practice it helps anyone who seeks it",,,,,,,,,,,,,,,,,,,,,
Electronic Cultural Atlas Initiative (ECAI),NULL,http://www.ecai.org/,NULL,"ECAI, established in 1997 by Emeritus Prof. Lewis Lancaster of UC Berkeley, is a digital humanities initiative involving numerous professors and institutions around the world with the stated goal of creating a networked digital atlas by creating tools and setting standards for dynamic, digital maps.",,,,,,,,,,,,,,,,,,,,,,,
Energy Frontier Research Center (EFRC),NULL,http://www.cchem.berkeley.edu/co2efrc/,NULL,The Energy Frontier Research Center for gas separations relevant to clean air technologies at UC Berkeley focuses on the energy costs associated with the separation of CO2 from gas mixtures. The long-term goal of this EFRC is to develop the science and materials that will contribute to the reduction of the parasitic energy costs of carbon capture and sequestration.,,,,,,,,,,,,,,,,,,,,,,,
Experimental Social Science Laboratory (XLab),NULL,http://xlab.berkeley.edu/,NULL,"Founded in 2004, the XLab is a laboratory for conducting experiment-based investigations on issues of interest to social scientists. XLab enables researchers to explore the wellsprings of human decision making, especially where it involves decisions with monetary consequences. The XLab is thus an ""economics wind tunnel"" whereby social scientists can test out various theories that help us understand economics and other forms of human behavior.",,,,,,,,,,,,,,,,,,,,,,,
Geospatial Innovation Facility,NULL,http://gif.berkeley.edu/,NULL,"The Geospatial Innovation Facility at UC Berkeley's College of Natural Resources provides leadership and training across a broad array of integrated mapping technologies, such as Remote Sensing, Geographic Information Systems (GIS), Global Positioning Systems (GPS), and modeling. The GIF offers innovative geospatial approaches to environmental research projects and grant opportunities.",,,,,,,,,,,,,,,,,,,,,,,
Geospatial Innovation Facility (GIF),NULL,http://gif.berkeley.edu/,NULL,The GIF at UC Berkeley's College of Natural Resources provides leadership and training across a broad array of integrated mapping technologies. Our goal is to help people better understand the changing world through the analysis and visualization of spatial data. We develop engaging applications that leverage and build upon state-of-the-art geospatial and web technologies and provide opportunities for researchers to learn how they can use spatial data to answer critical questions.,,,,,,,,,,,,,,,,,,,,,,,
Helen Wills Neuroscience Institute,Research Institute,http://neuroscience.berkeley.edu/,1997 - now,"HWNI is an active, collaborative research community that investigates fundamental questions about how the brain functions. Using approaches from many disciplines (including biophysics, chemistry, cognitive science, computer science, genetics, mathematics, molecular and cell biology, physics, and physiology), they seek to understand how the brain generates behavior and cognition and how to better understand, diagnose, and treat neurological disorders.",Graduate program,"Research, collaboration","Ehud Isacoff, ex-directors Robert Knight and John Ngai","Molecular and Cellular Biology, Psychology, Vision Science, Public Health, Mechanical Engineering, EECS, Bioengineering, Chemistry, Physics, Integrative Biology",, ,,,,,,,@UCBerkeleyNeuro,NA,"HWNI comes across as a fairly cutting edge neurosceince institute. As per many neuro programs, it seems more collaborative than it really is, as most faculty tend to stick with their respective subdisciplines. They have money for a communications person as well as an executive director to handle donors and such.","Neuroscience conference/retreat each October, various symposia on things like neuroimaging throughout the year, many invited speaker talks and seminars","3 FTE (executive director, graduate coordinator, events coordinator), 1 HTE (communication)","Physical space that belongs to the program, more opportunities for productive collaboration",Growing steadily as neuroscience becomes a larger factor on campus,,"Handling new growth effectively, maintaining institute identity in the face of many newcomers to the program (faculty, new hires, new departments, etc)",,
"Henry H. Wheeler, Jr. Brain Imaging Center (BIC)",NULL,http://bic.berkeley.edu/,NULL,BIC is one of four technology centers established under the auspices of the Helen Wills Neuroscience Institute. It is a campus-wide resource that supports advance brain-imaging technologies dedicated solely to basic brain research.,,,,,,,,,,,,,,,,,,,,,,,
i4Energy Center,NULL,http://i4energy.org/,NULL,"i4Energy is a vibrant community of researchers and innovators rooted in its three founding institutions: the University of California’s Center for Information Technology Research in the Interest of Society, the California Institute for Energy and Environment, and Lawrence Berkeley National Laboratory. With partners in industry and government, this powerful research collaboration is focused on creating an integrated information infrastructure that will transform our energy grid into a cooperative, “aware” energy network that is both efficient and able to use sustainable energy sources.",,,,,,,,,,,,,,,,,,,,,,,
Institute for Business Innovation,NULL,http://businessinnovation.berkeley.edu/data-science-strategy/,NULL,"The Haas School of Business has incorporated recent developments of data science and business analytics in many of its activities, including research done by the faculty, teaching, conferences, and roundtables. Housed at the Institute for Business Innovation, the Program in Data Science and Strategy is an expanding initiative that seeks to disseminate pioneering research, train business students, and form partnerships with the business and financial communities to incorporate data science into business decisions and policy-making.",,,,,,,,,,,,,,,,,,,,,,,
Joint BioEnergy Institute (JBEI),NULL,http://www.jbei.org/,NULL,"JBEI is one of three Bioenergy Research Centers created by the U.S. Department of Energy in 2007 to advance the development of biofuels—liquid fuels derived from the solar energy stored in plant biomass that can replace gasoline, diesel, and jet fuels. JBEI is a multi-institutional partnership that is led by the Berkeley Lab and includes the Sandia National Laboratories, the University of California campuses of Berkeley and Davis, the Carnegie Institution for Science, the Lawrence Livermore National Laboratory, and the Pacific Northwest National Laboratory.",,,,,,,,,,,,,,,,,,,,,,,
Joint Genome Institute (JGI),NULL,http://www.jgi.doe.gov/,NULL,"The mission of the U.S. Department of Energy (DOE) JGI is to advance genomics in support of the DOE missions related to clean energy generation and environmental characterization and cleanup. Supported by the DOE Office of Science, the DOE JGI unites the expertise of five national laboratories—the Berkeley Lab, Lawrence Livermore, Los Alamos, Oak Ridge, and Pacific Northwest—along with the HudsonAlpha Institute for Biotechnology. JGI is operated by the University of California for the U.S. DOE and the facility provides integrated high-throughput sequencing and computational analysis that enable systems-based scientific approaches to these challenges.",,,,,,,,,,,,,,,,,,,,,,,
Molecular Foundry,NULL,http://foundry.lbl.gov/,NULL,"The Molecular Foundry is a nanoscience user facility located at the Berkeley Lab. It is a critical part of the Department of Defense's National Nanotechnology Initiative, a multi-agency framework designed to improve human health, economic well-being, and national security through leadership in nanotechnology. The Foundry supports broad nanoscience research efforts in both ""hard"" nanomaterials (nanocrystals, tubes, and lithographically patterned structures) and ""soft"" nanomaterials (polymers, dendrimers, DNA, proteins, and whole cells) as well as in the design, fabrication, and study of multi-component, complex, functional assemblies of such materials.",,,,,,,,,,,,,,,,,,,,,,,
NERSC,NULL,https://www.nersc.gov/,NULL,"The National Energy Research Scientific Computing Center (NERSC), a division of the Berkeley Lab, is the primary scientific computing facility for the Office of Science in the U.S. Department of Energy. As one of the largest facilities in the world devoted to providing computational resources and expertise for basic scientific research, NERSC is a world leader in accelerating scientific discovery through computation.",,HPC,,,,,,,,,,,,,,,,,,,,,
Nuclear Science and Security Consortium (NSSC),NULL,http://nssc.berkeley.edu/,NULL,"The National Nuclear Security Administration awarded $25 million to UC Berkeley to lead NSSC, a multi-institution consortium that will support the nation’s nuclear nonproliferation mission through the training and education of experts in the nuclear security field. ",,,,,,,,,,,,,,,,,,,,,,,
Radio Astronomy Laboratory (RAL),NULL,http://vcresearch.berkeley.edu/research-unit/radio-astronomy-laboratory,NULL,"RAL was created in 1958 to foster research in radio astronomy, a discipline that naturally extends beyond the borders of traditional academic departments at Berkeley. Over the years, faculty and graduate students from the astronomy, physics, chemistry, electrical engineering and computer science, and geology and geophysics departments have made use of the RAL's facilities.",,,,,,,,,,,,,,,,,,,,,,,
Redwood Center for Theoretical Neuroscience,NULL,http://redwood.berkeley.edu/,NULL,"The home of computational and theoretical neuroscience research on campus, the Redwood Center hosts a number of faculty with expertise in mathematical and computational methods. It also conducts seminar series and invited lecture talks in this field.",,"Research, teaching",,,,,,,,,,,,,,,,,,,,,
Research IT,NULL,http://research-it.berkeley.edu/,NULL,"Research IT provides research computing technologies, consulting, and community for the Berkeley campus. Our goal is to advance research through IT innovation.",,,,,,,,,,,,,,,,,,,,,,,
"Scalable Data Management, Analysis, and Visualization (SDAV)",NULL,http://www.sdav-scidac.org/,NULL,"SDAV provides comprehensive expertise in scientific data management, analysis, and visualization aimed at transferring state-of-the-art techniques into operational use by application scientists on leadership-class computing facilities. It is a collaboration tapping the expertise of researchers at six laboratories and and in seven universities.",,,,,,,,,,,,,,,,,,,,,,,
SDAV,NULL,http://www.sdav-scidac.org/,NULL,"SDAV provides comprehensive expertise in scientific data management, analysis, and visualization aimed at transferring state of the art techniques into operational use by application scientists on leadership-class computing facilities.  It is a collaboration tapping the expertise of researchers at six laboratories and and in seven universities.",,,,,,,,,,,,,,,,,,,,,,,
Simons Institute,NULL,http://simons.berkeley.edu/,NULL,"The Simons Institute for the Theory of Computing facilitates collaborative research in theoretical computer science. Established in July 2012 with support from the Simons Foundation, its goal is to bring together the world's leading researchers in theoretical computer science and related fields, as well as the next generation of outstanding young scholars, to explore deep unsolved problems about the nature and limits of computation.",,Research,,,,,,,,,,,,,,,,,,,,,
Space Sciences Laboratory (SSL),NULL,http://www.ssl.berkeley.edu/,NULL,"SSL was initiated in 1958 by a committee of faculty members who recognized that emerging rocket and satellite technology opened up new investigative realms for the physical, biological, and engineering sciences. As a campus-wide multidisciplinary organization, SSL serves to integrate the space sciences on campus and stimulate new faculty-student research programs. Among other projects, SSL developed and maintains the SETI@home project, which pioneered the application of distributed computing to the space sciences.",,,,,,,,,,,,,,,,,,,,,,,
Synthetic Biology Engineering Research Center (SYNBERC),NULL,http://synberc.org/,NULL,"In 2006, the NSF funded the first synthetic biology engineering research center—Synberc—to develop engineered biological systems that will catalyze new technologies for processing information, producing energy, manufacturing chemicals and pharmaceuticals, and fabricating materials. Synberc is a consortium of UC Berkeley, UC San Francisco, Stanford, Harvard, and MIT. These universities are located in the two “hubs” of synthetic biology—Boston and San Francisco’s Bay Area.",,,,,,,,,,,,,,,,,,,,,,,
The Archaeological Research Facility,NULL,http://arf.berkeley.edu/,NULL,"The Archaeological Research Facility (ARF) encourages and carries out archaeological field and laboratory research conducted by UC Berkeley archaeologists and related specialists. As a field of research, archaeology is inherently interdisciplinary and collaborative; not only are there intimate research collaborations among natural scientists, social scientists and/or humanities scholars, but archaeology is practiced by scholars who expectedly hold faculty and/or research positions in a variety of departments, ranging from classics to earth and planetary science.",,,,,,,,,,,,,,,,,,,,,,,
The Electronic Cultural Atlas Initiative,NULL,http://www.ecai.org/,NULL,"The Electronic Cultural Atlas Initiative, established in 1997 by Emeritus Prof. Lewis Lancaster of UC Berkeley, is a digital humanities initiative involving numerous professors and institutions around the world with the stated goal of creating a networked digital atlas by creating tools and setting standards for dynamic, digital maps.",,,,,,,,,,,,,,,,,,,,,,,
Theoretical Astrophysics Center (TAC),NULL,http://astro.berkeley.edu/tac/,NULL,"TAC includes faculty, research scientists, postdoctoral researchers, and students working on a wide variety of problems in theoretical astrophysics. Their specialties include cosmology, planetary dynamics, the interstellar medium, star and planet formation, and compact objects.",,,,,,,,,,,,,,,,,,,,,,,
Townsend Center for the Humanities,NULL,http://townsendcenter.berkeley.edu/,NULL,"Established in 1987, the Doreen B. Townsend Center for the Humanities encourages an interdisciplinary approach to scholarship, fostered innovation in research, and promoted intellectual conversation among individuals from the humanities and related academic disciplines. The Center offers an array of fellowship and grant programs designed to support research and scholarship at all levels of the university community. They also support more than 60 interdisciplinary working groups on a wide range of topics—ranging from hip hop studies to orientalism, from Latin American colonial studies to new media—and co-sponsor a wide variety of lectures and conferences with other departments and units on campus. ",,,,,,,,,,,,,,,,,,,,,,,
Urban Analytics Lab,NULL,http://ual.berkeley.edu/,NULL,"Specializes in developing visualization and analysis tools for urban planning needs. Seems to have a focus on transportation and housing, and creating visualizations to demonstrate city planning endeavors.",,,,,,,,,,,,,,,,,,,,,,,
UrbanSim,NULL,http://www.urbansim.org/Main/WebHome,NULL,"UrbanSim is an open source urban simulation system designed by Paul Waddell at UC Berkeley and developed with numerous collaborators to support metropolitan land use, transportation, and environmental planning.",,,,,,,,,,,,,,,,,,,,,,,
Visualization Group,NULL,http://vis.berkeley.edu/,NULL,The Visualization Group aims to assist researchers in achieving their scientific goals – solving some of the world's most challenging problems in scientific data understanding – through visualization and analytics while simultaneously advancing the state-of-the-art in visualization through their own research.,,,,,,,,,,,,,,,,,,,,,,,
